2014/6/1	0
2014/6/2	0
2014/6/3	0
2014/6/4	0
2014/6/5	0
2014/6/6	0
2014/6/7	0
2014/6/8	0
2014/6/9	0
2014/6/10	0
2014/6/11	0
2014/6/12	0
2014/6/13	0
2014/6/14	0
2014/6/15	0
2014/6/16	0
2014/6/17	0
2014/6/18	0
2014/6/19	0
2014/6/20	0
2014/6/21	0
2014/6/22	0
2014/6/23	633
2014/6/24	548
2014/6/25	358
2014/6/26	150
2014/6/27	335
2014/6/28	334
2014/6/29	68
2014/6/30	182
2014/7/1	"1,828"
2014/7/2	"1,611"
2014/7/3	653
2014/7/4	324
2014/7/5	171
2014/7/6	140
2014/7/7	158
2014/7/8	210
2014/7/9	46
2014/7/10	140
2014/7/11	54
2014/7/12	216
2014/7/13	72
2014/7/14	29
2014/7/15	50
2014/7/16	26
2014/7/17	22
2014/7/18	16
2014/7/19	34
2014/7/20	16
2014/7/21	39
2014/7/22	56
2014/7/23	85
2014/7/24	20
2014/7/25	93
2014/7/26	199
2014/7/27	218
2014/7/28	231
2014/7/29	195
2014/7/30	80
2014/7/31	227
2014/8/1	283
2014/8/2	170
2014/8/3	138
2014/8/4	152
2014/8/5	150
2014/8/6	179
2014/8/7	387
2014/8/8	313
2014/8/9	163
2014/8/10	48
2014/8/11	153
2014/8/12	169
2014/8/13	204
2014/8/14	89
2014/8/15	114
2014/8/16	88
2014/8/17	184
2014/8/18	30
2014/8/19	89
2014/8/20	20
2014/8/21	140
2014/8/22	124
2014/8/23	88
2014/8/24	106
2014/8/25	28
2014/8/26	36
2014/8/27	13
2014/8/28	24
2014/8/29	22
2014/8/30	41
2014/8/31	95
2014/9/1	26
2014/9/2	6
2014/9/3	176
2014/9/4	34
2014/9/5	136
2014/9/6	50
2014/9/7	68
2014/9/8	10
2014/9/9	31
2014/9/10	44
2014/9/11	164
2014/9/12	106
2014/9/13	20
2014/9/14	128
2014/9/15	112
2014/9/16	18
2014/9/17	151
2014/9/18	92
2014/9/19	40
2014/9/20	208
2014/9/21	154
2014/9/22	42
2014/9/23	40
2014/9/24	135
2014/9/25	64
2014/9/26	181
2014/9/27	243
2014/9/28	110
2014/9/29	147
2014/9/30	77
2014/10/1	60
2014/10/2	239
2014/10/3	206
2014/10/4	57
2014/10/5	72
2014/10/6	42
2014/10/7	45
2014/10/8	138
2014/10/9	64
2014/10/10	69
2014/10/11	102
2014/10/12	93
2014/10/13	111
2014/10/14	21
2014/10/15	51
2014/10/16	54
2014/10/17	58
2014/10/18	348
2014/10/19	372
2014/10/20	246
2014/10/21	213
2014/10/22	202
2014/10/23	276
2014/10/24	229
2014/10/25	138
2014/10/26	156
2014/10/27	129
2014/10/28	293
2014/10/29	296
2014/10/30	75
2014/10/31	84
2014/11/1	57
2014/11/2	133
2014/11/3	87
2014/11/4	24
2014/11/5	75
2014/11/6	155
2014/11/7	86
2014/11/8	218
2014/11/9	176
2014/11/10	149
2014/11/11	112
2014/11/12	138
2014/11/13	245
2014/11/14	193
2014/11/15	109
2014/11/16	272
2014/11/17	124
2014/11/18	102
2014/11/19	35
2014/11/20	78
2014/11/21	96
2014/11/22	72
2014/11/23	156
2014/11/24	99
2014/11/25	250
2014/11/26	150
2014/11/27	142
2014/11/28	132
2014/11/29	28
2014/11/30	84
2014/12/1	15
2014/12/2	57
2014/12/3	18
2014/12/4	37
2014/12/5	44
2014/12/6	39
2014/12/7	157
2014/12/8	178
2014/12/9	24
2014/12/10	51
2014/12/11	119
2014/12/12	114
2014/12/13	227
2014/12/14	61
2014/12/15	221
2014/12/16	115
2014/12/17	40
2014/12/18	54
2014/12/19	73
2014/12/20	68
2014/12/21	220
2014/12/22	97
2014/12/23	64
2014/12/24	31
2014/12/25	77
2014/12/26	220
2014/12/27	43
2014/12/28	52
2014/12/29	97
2014/12/30	243
2014/12/31	40
2015/1/1	214
2015/1/2	290
2015/1/3	179
2015/1/4	105
2015/1/5	80
2015/1/6	157
2015/1/7	76
2015/1/8	510
2015/1/9	503
2015/1/10	248
2015/1/11	308
2015/1/12	184
2015/1/13	302
2015/1/14	328
2015/1/15	295
2015/1/16	763
2015/1/17	"1,484"
2015/1/18	"2,359"
2015/1/19	"1,626"
2015/1/20	"1,961"
2015/1/21	"1,095"
2015/1/22	"1,182"
2015/1/23	"1,243"
2015/1/24	796
2015/1/25	836
2015/1/26	700
2015/1/27	500
2015/1/28	591
2015/1/29	581
2015/1/30	774
2015/1/31	495
2015/2/1	305
2015/2/2	569
2015/2/3	479
2015/2/4	398
2015/2/5	561
2015/2/6	710
2015/2/7	314
2015/2/8	345
2015/2/9	591
2015/2/10	596
2015/2/11	478
2015/2/12	490
2015/2/13	754
2015/2/14	381
2015/2/15	664
2015/2/16	822
2015/2/17	412
2015/2/18	640
2015/2/19	420
2015/2/20	508
2015/2/21	387
2015/2/22	583
2015/2/23	924
2015/2/24	920
2015/2/25	721
2015/2/26	919
2015/2/27	629
2015/2/28	419
2015/3/1	701
2015/3/2	785
2015/3/3	708
2015/3/4	"1,078"
2015/3/5	574
2015/3/6	801
2015/3/7	"1,367"
2015/3/8	707
2015/3/9	677
2015/3/10	927
2015/3/11	963
2015/3/12	"1,637"
2015/3/13	"1,783"
2015/3/14	"3,919"
2015/3/15	722
2015/3/16	878
2015/3/17	597
2015/3/18	782
2015/3/19	402
2015/3/20	313
2015/3/21	448
2015/3/22	380
2015/3/23	328
2015/3/24	258
2015/3/25	257
2015/3/26	458
2015/3/27	308
2015/3/28	423
2015/3/29	413
2015/3/30	383
2015/3/31	708
2015/4/1	498
2015/4/2	456
2015/4/3	390
2015/4/4	472
2015/4/5	394
2015/4/6	389
2015/4/7	393
2015/4/8	366
2015/4/9	366
2015/4/10	331
2015/4/11	470
2015/4/12	342
2015/4/13	193
2015/4/14	179
2015/4/15	503
2015/4/16	238
2015/4/17	276
2015/4/18	140
